集合的含义与表示,集合的概念
集合间的关系,集合之间的关系
集合的运算,集合的运算
命题与四种命题,命题
充要条件,充要条件
逻辑联结词,逻辑联结词
全称命题与特称命题,量词
映射与函数的概念,映射
映射与函数的概念,函数的概念及其构成要素
定义域,函数的定义域
值域,函数的值域
解析式,函数的解析式
图象,函数的图象
分段函数,分段函数
函数的单调性,函数的单调性及单调区间
函数的单调性,函数单调性的判断与证明
函数的单调性,函数单调性的应用
函数的单调性,复合函数的单调性
函数的最值,函数的最值及其几何意义
函数的奇偶性,函数的奇偶性
函数的周期性,函数的周期性
函数周期性与对称性综合考查,函数图象的对称性
函数周期性与对称性综合考查,函数周期性与函数对称性的综合考查
二次函数,一次、二次函数
幂函数,幂函数
指数,幂的有关运算
指数函数,指数函数的定义、图象与性质
对数,对数的概念与运算
对数函数,对数函数的定义、图象与性质
反函数,反函数
函数零点问题,零点的概念与求解
函数零点问题,函数的零点与方程的根,3020220020000
函数零点问题,函数的零点与方程根的存在性及根的个数判断
二分法,二分法求方程的近似解,3020220040300
函数模型及其应用,函数的应用
导数的概念,函数的平均变化率
导数的概念,导数的定义
导数的概念,导数值的定义
导数的计算,导数的运算
导数的几何意义,导数的几何意义
导数的几何意义,利用导数求切线问题
导数与函数的单调性,利用导数求单调性问题
函数的极值与最值,利用导数求极值问题
函数的极值与最值,利用导数求最值问题
导数的实际应用,含参的分类讨论
定积分的概念计算,定积分的求解
定积分的应用,利用定积分求解曲边梯形的面积问题
任意角的概念,角的概念的推广
弧度制,弧度制
任意角的三角函数,任意角的三角函数的基本概念
同角三角函数关系,同角三角函数的基本关系式及其应用
诱导公式,诱导公式
正弦、余弦、正切函数的图象与性质,正弦函数的图象与性质
正弦、余弦、正切函数的图象与性质,余弦函数的图象与性质
正弦、余弦、正切函数的图象与性质,正切函数的图象与性质
正弦、余弦、正切函数的图象与性质,正弦、余弦函数图象的“五点”
正弦、余弦、正切函数的图象与性质,正余弦函数性质的综合考查
正弦、余弦、正切函数的图象与性质,复合三角函数的单调性
函数y=Asin（ωx+φ）的图象与性质?,函数y=Asin（ωx+φ）的图象与性质
三角函数模型的简单应用,三角函数模型的实际应用
三角函数式的化简与求值,三角函数恒等变换
平面向量的概念,平面向量的实际背景与基本概念
平面向量的线性运算,平面向量的线性运算
平面向量的基本定理,平面向量基本定理及基底
平面向量的线性运算的坐标表示,平面向量的坐标运算,3020403020100
向量坐标的综合运算,平面向量共线的坐标表示
向量坐标的综合运算,已知起点与终点坐标，求向量坐标
向量坐标的综合运算,中点（或其它等分点）坐标
向量坐标的综合运算,平面向量坐标表示的应用
平面向量数量积,平面向量数量积的含义与物理意义
平面向量数量积的应用,平面向量的数量积,3020404020000
平面向量的综合应用,平面向量的综合应用
正弦定理,正弦定理及其应用
余弦定理,余弦定理及其应用
正弦定理与余弦定理的综合应用,解三角形问题的综合考查
三角形面积公式,三角形的面积公式,3020601030000
解三角形的实际应用,解三角形的实际应用
数列的概念,数列的有关概念（项、项数、通项）
数列的概念,数列的分类
数列与函数,数列的表示
数列与函数,通项公式an
数列与函数,前n项和Sn
数列与函数,an与Sn的关系
递推数列,递推公式
等差数列及通项公式,等差数列的定义及应用
等差数列及通项公式,等差数列的通项公式
等差数列的前n项和,等差数列的前n项和
等差数列的性质,等差数列的性质
等比数列及通项公式,等比数列的定义,3020704010100
等比数列及通项公式,等比数列的通项公式
等比数列的前n项和,等比数列的前n项和
等比数列的性质,等比数列的性质
等比数列与等差数列的综合问题,等差与等比数列综合考查
数列的通项公式,求通项公式
数列的求和,数列求和
数列与综合问题,创新数列问题
数列与综合问题,数列的应用
不等关系与不等式,数的大小比较
不等式性质,自反性
不等式性质,传递性
不等式性质,不等式的加法法则
不等式性质,不等式的乘法法则
不等式性质,不等式的取倒数法则
不等式性质,绝对值不等式的性质
基本不等式（均值不等式）,均值不等式
一元二次不等式解法,一元二次不等式的解法
分式不等式及高次不等式解法,一元高次不等式与分式不等式的解法
一元二次不等式的实际应用,一元二次不等式的应用
二元一次不等式（组）的平面区域表示,二元一次不等式（组）表示的区域
简单的线性规划问题,简单的线性规划问题
线性规划的实际应用,线性规划的应用问题
线性规划的思想方法的应用,线性规划综合考查
合情推理,合情推理
演绎推理,演绎推理（三段论）
直接证明,直接证明
反证法,间接证明（反证法）
数学归纳法,数学归纳法（理科）
几何体的结构特征,柱体
几何体的结构特征,锥体
几何体的结构特征,台体的定义与有关概念
几何体的结构特征,球体的定义与有关概念
几何体的结构特征,欧拉公式与正多面体
几何体的结构特征,球的内接几何体与几何体的外接球问题
几何体的结构特征,球的外切几何体与几何体的内切球问题
直观图与三视图,斜二测画法
直观图与三视图,投影
直观图与三视图,三视图
表面积,几何体的表面积问题
体积,几何体的体积问题
平面的基本性质,空间中点、线、面的基本概念
点线面间的位置关系,点线面间的位置关系
直线与直线平行,空间中线线平行的判定与性质
直线与平面平行,空间中线面平行的判定与性质
平面与平面平行,空间中面面平行的判定与性质
直线与直线垂直,空间中线线垂直的判定与性质
直线与平面垂直,空间中线面垂直的判定与性质
两个平面垂直,空间中面面垂直的判定与性质
空间向量的运算,空间直角坐标系
空间向量的运算,空间向量的有关概念
空间向量的运算,直线的方向向量,3029900000058
空间向量的运算,空间向量的运算
空间向量的坐标表示,空间向量坐标的确定
空间向量的坐标表示,空间向量的模的求解
空间向量的坐标表示,空间向量平行的判定
空间向量的坐标表示,空间向量垂直的判定
空间向量的坐标表示,空间向量的夹角的求解
空间向量的坐标表示,空间向量的基本定理及其意义
利用空间向量证明线面的平行与垂直关系?,利用空间向量证明线面的平行与垂直关系
利用空间向量求解空间的角?,利用空间向量求解空间中的角
利用空间向量求解空间的距离?,利用空间向量求解点到面的距离
直线的倾斜角与斜率,倾斜角与斜率
直线方程,直线的方程
两条直线的位置关系,两直线平行的判定与性质
两条直线的位置关系,两直线垂直的判定与性质
两条直线的位置关系,两直线的夹角与到角定义与求解
两条直线的位置关系,两直线的交点问题
距离公式,与直线有关的距离问题
直线系方程,平行直线系
直线系方程,相交直线系
对称问题,与直线有关的对称问题
圆的方程,圆的定义与方程
圆的方程的综合问题,点与圆的位置关系
直线与圆的位置关系,直线与圆的位置关系
圆与圆的位置关系,圆与圆的位置关系
椭圆的定义,椭圆的定义
椭圆的定义,椭圆标准方程的推导
椭圆的标准方程,求椭圆的标准方程
椭圆的几何性质,椭圆的性质及其应用
双曲线的定义,双曲线的定义
双曲线的定义,双曲线标准方程的推导
双曲线的标准方程,求双曲线的标准方程
双曲线的几何性质,双曲线的性质及其应用
抛物线的定义,抛物线的定义
抛物线的定义,抛物线标准方程的推导
抛物线的标准方程,求抛物线的标准方程
抛物线的几何性质,抛物线的性质
直线截圆锥曲线所得的弦,直线与圆锥曲线的位置关系中的弦长问题
直线截圆锥曲线所得的弦,直线与圆锥曲线的位置关系中的弦中点与中点弦问题
轨迹方程的探究,曲线与方程
圆锥曲线的综合问题,圆锥曲线综合考查
圆锥曲线的综合问题,直线与圆锥曲线的位置关系中的面积问题
圆锥曲线的综合问题,直线与圆锥曲线的位置关系中的定点问题
圆锥曲线的综合问题,直线与圆锥曲线的位置关系中的定值问题
圆锥曲线的综合问题,直线与圆锥曲线的位置关系中的角度问题
圆锥曲线的综合问题,直线与圆锥曲线的位置关系中的可以转化为有关函数问题
圆锥曲线的综合问题,直线与圆锥曲线的位置关系中的开放性问题
算法的设计,算法
基本逻辑结构,程序框图
算法的基本语句,基本算法语句
抽样方法,统计的有关概念
抽样方法,简单随机抽样
抽样方法,系统抽样
抽样方法,分层抽样
抽样方法的综合问题,三种抽样方法的综合考查
频率分布直方图,频率分布表与频率分布直方图
茎叶图,茎叶图
用样本数字特征估计总体,用样本的数字特征估计总体的数字特征
相关关系,变量的相关性
线性回归方程,回归分析及初步应用
独立性检验,独立性检验：列联表（2×2）独立性分析
两个计数原理,计数原理
排列,排列
组合,组合
组合,排列组合综合考查
二项式定理,二项式定理的展开式
二项式系数的性质及其应用,二项式系数与项的系数
二项式系数的性质及其应用,二项式系数的性质
二项式定理的应用,二项式定理的应用
事件及其概率,事件、频率与概率
古典概型,古典概型
互斥事件、对立事件及其概率,概率的加法公式
几何概型,几何概型及其概率求解
随机模拟,随机数的含义
条件概率,条件概率
相互独立事件的概率,概率的乘法公式
二项分布,离散型随机变量的二项分布
正态分布,正态分布
离散型随机变量的分布列,离散型随机变量的分布列
随即变量的期望与方差,离散型随机变量的期望
随即变量的期望与方差,离散型随机变量的方差
超几何分布,离散型随机变量的超几何分布
复数的概念,数系的扩充与复数的定义
复数的概念,复数的几何意义
复数代数形式的四则运算,复数的四则运算
复数代数形式的四则运算,复数的开方运算
不等式的证明,证明不等式的方法
重要不等式,不等式选讲
含绝对值的不等式,绝对值不等式的解法
极坐标系,极坐标系
参数方程,参数方程
直线与圆,几何选讲证明
